,Unnamed: 0,Submission ID,Submission ID generated by device,Transfers Date,Vessel,Transfers : Time Question,Transfers : Hour,Transfers : To/From where?,Transfers : Turbine,Transfers : No. of Pax,Transfers : Transfer Up/Down,Transfers : No. of Cargo Lifts/Drops,Lat,Lon,datetime,distance,Distance_abs,Total fuel used L,VHM0 (Wave Height),Eastward Wind,Northward Wind,Eastward Current,Northward Current
0,0,65260610,9c431365-fab7-46c7-a427-a62705a7129e,06/12/2021,Njord Forseti,06:55:00,6,Shore,Lowestoft,9,Down (On to CTV),0,52.474199,1.736557,06/12/2021 06:55,0,,0,,1.69,3.5700000000000003,-0.097000005,-0.62900003
1,1,65260610,9c431365-fab7-46c7-a427-a62705a7129e,06/12/2021,Njord Forseti,08:20:00,8,Tp/Substation,EA1 C13,3,Up (Leaving CTV),3,52.22616667,2.486233333,06/12/2021 08:20,31.875481605529785,31.267990721606747,673.8875649909999,1.3040000619366765,0.95,8.94,-0.065000003,-0.305000014
2,2,65260610,9c431365-fab7-46c7-a427-a62705a7129e,06/12/2021,Njord Forseti,08:52:00,8,Tp/Substation,EA1 E23,3,Up (Leaving CTV),3,52.29688333,2.511583333,06/12/2021 08:52,3.370985269546509,4.346855296412664,198.4640278,1.3060000620316714,2.59,9.98,-0.121000006,-0.83900004
3,3,65260610,9c431365-fab7-46c7-a427-a62705a7129e,06/12/2021,Njord Forseti,09:30:00,9,Tp/Substation,EA1 B14,2,Up (Leaving CTV),0,52.22893333,2.4529,06/12/2021 09:30,5.214121103286743,4.614606656642825,242.29739293900002,1.3060000620316714,3.2,10.45,-0.262000012,-0.975000046
4,4,65260610,9c431365-fab7-46c7-a427-a62705a7129e,06/12/2021,Njord Forseti,09:50:00,9,Tp/Substation,EA1 B14,2,Down (On to CTV),0,52.22893333,2.4529,06/12/2021 09:50,0.7358206510543823,0,50.68741676900001,1.3060000620316714,3.2,10.45,-0.262000012,-0.975000046
5,5,65260610,9c431365-fab7-46c7-a427-a62705a7129e,06/12/2021,Njord Forseti,10:30:00,10,Tp/Substation,EA1 E23,3,Down (On to CTV),3,52.29688333,2.511583333,06/12/2021 10:30,5.451502442359924,4.614606656642825,201.0341954,1.5140000719111413,3.73,10.8,-0.327000016,-0.885000042
6,6,65260610,9c431365-fab7-46c7-a427-a62705a7129e,06/12/2021,Njord Forseti,11:00:00,11,Tp/Substation,EA1 C13,3,Down (On to CTV),3,52.22616667,2.486233333,06/12/2021 11:00,4.416710854,4.346855296412664,185.46773488000002,1.5100000717211517,3.66,10.68,-0.310000015,-0.885000042
7,7,65260610,9c431365-fab7-46c7-a427-a62705a7129e,06/12/2021,Njord Forseti,12:40:00,12,Shore,Lowestoft,9,Up (Leaving CTV),1,52.474199,1.736557,06/12/2021 12:40,32.03909873962402,31.267990721606747,768.5480333510001,,4.3,7.3,0.1150000054622069,0.5560000264085829
14,14,65403150,16fb0c75-8f65-405c-b701-d4cd7e532309,09/12/2021,Njord Forseti,06:40:00,6,Shore,Lowestoft,10,Down (On to CTV),1,52.474199,1.736557,09/12/2021 06:40,0,0,0,,7.0200000000000005,1.2,0.080000004,0.5280000250786543
15,15,65403150,16fb0c75-8f65-405c-b701-d4cd7e532309,09/12/2021,Njord Forseti,08:10:00,8,Tp/Substation,EA1 C13,3,Up (Leaving CTV),2,52.22616667,2.486233333,09/12/2021 08:10,32.04013109207153,31.267990721606747,718.4370077509998,1.2180000578518957,9.87,-0.06,0.1550000073621049,0.8250000391853973
16,16,65403150,16fb0c75-8f65-405c-b701-d4cd7e532309,09/12/2021,Njord Forseti,08:40:00,8,Tp/Substation,EA1 C17,4,Up (Leaving CTV),4,52.25163333,2.472466667,09/12/2021 08:40,1.6663751602172852,1.6106301257335416,172.63096092399996,1.214000057661906,8.57,1.04,0.078000004,0.5090000241762027
17,17,65403150,16fb0c75-8f65-405c-b701-d4cd7e532309,09/12/2021,Njord Forseti,14:45:00,14,Tp/Substation,EA1 C13,3,Down (On to CTV),4,52.22616667,2.486233333,09/12/2021 14:45,17.018930382095277,1.6106301257335416,383.0441658157998,0.9540000453125684,7.69,2.78,-0.053000003,-0.42600002
18,18,65403150,16fb0c75-8f65-405c-b701-d4cd7e532309,09/12/2021,Njord Forseti,16:12:00,16,Tp/Substation,EA1 C17,4,Down (On to CTV),4,52.25163333,2.472466667,09/12/2021 16:12,2.875995948910713,1.6106301257335416,358.55049365199994,0.9500000451225789,7.17,4.17,0.097000005,0.059000003
19,19,65403150,16fb0c75-8f65-405c-b701-d4cd7e532309,09/12/2021,Njord Forseti,17:55:00,17,Shore,Lowestoft,10,Up (Leaving CTV),3,52.474199,1.736557,09/12/2021 17:55,31.020920753479004,30.109117606540863,476.9305119,,3.08,5.65,0.097000005,0.6660000316333026
28,28,65473552,c4b75901-16e8-4ba9-a96b-44183678c408,11/12/2021,Njord Forseti,07:45:00,7,Shore,Lowestoft,13,Down (On to CTV),1,52.474199,1.736557,11/12/2021 07:45,0,0,0,,5.87,-1.11,0.098000005,0.574000027
29,29,65473552,c4b75901-16e8-4ba9-a96b-44183678c408,11/12/2021,Njord Forseti,10:15:00,10,Tp/Substation,EA1 C16,3,Up (Leaving CTV),5,52.24561667,2.475466667,11/12/2021 10:15,37.19595299242064,30.370892714830386,832.3344264950001,1.2640000600367785,6.26,-0.66,0.1450000068871304,0.7020000333432108
30,30,65473552,c4b75901-16e8-4ba9-a96b-44183678c408,11/12/2021,Njord Forseti,11:15:00,11,Tp/Substation,EA1 D17,3,Up (Leaving CTV),4,52.25493333,2.502566667,11/12/2021 11:15,1.244874113239348,1.1424437614221354,337.7010515,1.0920000518672168,6.23,0.36,0.045000002,0.4390000208513811
31,31,65473552,c4b75901-16e8-4ba9-a96b-44183678c408,11/12/2021,Njord Forseti,11:40:00,11,Tp/Substation,EA1 C16,0,Up (Leaving CTV),1,52.24561667,2.475466667,11/12/2021 11:40,0.589790404,1.1424437614221354,134.3945888,1.0740000510122627,5.79,1.52,0.009,0.096000005
32,32,65473552,c4b75901-16e8-4ba9-a96b-44183678c408,11/12/2021,Njord Forseti,15:50:00,15,Tp/Substation,EA1 D17,3,Down (On to CTV),3,52.25493333,2.502566667,11/12/2021 15:50,11.667346079368144,1.1424437614221354,955.9193409791599,0.9640000457875432,6.28,4.94,-0.21800001,-0.673000032
33,33,65473552,c4b75901-16e8-4ba9-a96b-44183678c408,11/12/2021,Njord Forseti,16:10:00,16,Tp/Substation,EA1 C16,3,Down (On to CTV),2,52.24561667,2.475466667,11/12/2021 16:10,0.3724605143070221,1.1424437614221354,111.71779377000001,0.9540000453125684,5.99,5.04,-0.226000011,-0.682000032
34,34,65473552,c4b75901-16e8-4ba9-a96b-44183678c408,11/12/2021,Njord Forseti,18:20:00,12,Shore,Lowestoft,13,Up (Leaving CTV),0,52.474199,1.736557,11/12/2021 18:20,40.32242155075073,30.370892714830386,715.5736377,,3.0700000000000003,6.45,0.076000004,0.4800000227987766
50,50,65487203,813f6b0a-adf1-444d-8ec9-e09c8b9a0120,12/12/2021,Njord Forseti,07:00:00,6,Shore,Lowestoft,6,Down (On to CTV),7,52.474199,1.736557,12/12/2021 07:00,0,0,0,,5.75,2.4,0.1150000054622069,0.6200000294484198
51,51,65487203,813f6b0a-adf1-444d-8ec9-e09c8b9a0120,12/12/2021,Njord Forseti,08:20:00,8,Tp/Substation,EA1 C16,3,Up (Leaving CTV),2,52.24561667,2.475466667,12/12/2021 08:20,23.75325584411621,30.370892714830386,678.1116513200002,1.250000059371814,8.370000000000001,2.89,0.2230000105919316,0.5780000274535269
52,52,65487203,813f6b0a-adf1-444d-8ec9-e09c8b9a0120,12/12/2021,Njord Forseti,16:20:00,16,Tp/Substation,EA1 C16,3,Down (On to CTV),1,52.24561667,2.475466667,12/12/2021 16:20,24.731775164604187,0,664.6786581064998,1.0720000509172678,7.42,5.48,-0.198000009,-0.760000036
53,53,65487203,813f6b0a-adf1-444d-8ec9-e09c8b9a0120,12/12/2021,Njord Forseti,17:50:00,17,Shore,Lowestoft,6,Up (Leaving CTV),4,52.474199,1.736557,12/12/2021 17:50,31.849921226501465,30.370892714830386,696.2557434,,4.69,4.82,0.015000001,-0.075000004
62,62,65524767,bc734872-a9b2-4f41-9592-3fa6b52ddfad,13/12/2021,Njord Forseti,06:35:00,6,Shore,Lowestoft,13,Down (On to CTV),3,52.474199,1.736557,13/12/2021 06:35,0,0,0,,3.88,5.98,0.060000003,0.3730000177165493
63,63,65524767,bc734872-a9b2-4f41-9592-3fa6b52ddfad,13/12/2021,Njord Forseti,08:10:00,8,Tp/Substation,EA1 C16,3,Up (Leaving CTV),1,52.24561667,2.475466667,13/12/2021 08:10,30.972318649291992,30.370892714830386,672.6256638540001,1.2400000588968396,5.8,7.53,0.092000004,0.2550000121118501
64,64,65524767,bc734872-a9b2-4f41-9592-3fa6b52ddfad,13/12/2021,Njord Forseti,08:30:00,8,Tp/Substation,EA1 C18,3,Up (Leaving CTV),3,52.25823333,2.4685,13/12/2021 08:30,1.9854071140289309,0.7996201679720253,122.7295824,1.2380000588018447,5.7,7.55,0.21500001,0.6140000291634351
65,65,65524767,bc734872-a9b2-4f41-9592-3fa6b52ddfad,13/12/2021,Njord Forseti,09:00:00,9,Tp/Substation,EA1 E22,2,Up (Leaving CTV),2,52.29051667,2.515033333,13/12/2021 09:00,2.084054946899414,2.584473099875019,177.4230481,1.2580000597517935,5.73,7.55,0.2250000106869265,0.596000028
66,66,65524767,bc734872-a9b2-4f41-9592-3fa6b52ddfad,13/12/2021,Njord Forseti,11:25:00,11,Tp/Substation,EA1 E22,2,Down (On to CTV),21,52.29051667,2.515033333,13/12/2021 11:25,9.263190269470217,0,383.5643246684999,1.090000051772222,5.42,7.67,0.2360000112093985,0.8080000383779407
67,67,65524767,bc734872-a9b2-4f41-9592-3fa6b52ddfad,13/12/2021,Njord Forseti,11:35:00,11,Tp/Substation,EA1 E22,2,Up (Leaving CTV),0,52.29051667,2.515033333,13/12/2021 11:35,0.035383321,0,3.0810479749999997,1.090000051772222,5.8500000000000005,7.53,0.1680000079795718,0.7140000339131802
69,69,65524767,bc734872-a9b2-4f41-9592-3fa6b52ddfad,13/12/2021,Njord Forseti,11:50:00,11,Tp/Substation,EA1 E18,2,Up (Leaving CTV),2,52.265,2.5288,13/12/2021 11:50,0.005328147,1.613341904549319,2.0187891999999996,1.0840000514872372,5.8500000000000005,7.53,0.1680000079795718,0.7140000339131802
70,70,65524767,bc734872-a9b2-4f41-9592-3fa6b52ddfad,13/12/2021,Njord Forseti,14:30:00,14,Tp/Substation,EA1 E18,2,Down (On to CTV),2,52.265,2.5288,13/12/2021 14:30,8.922374486923218,0,236.38273674469997,0.9540000453125684,5.3,7.78,0.018000001,-0.191000009
71,71,65524767,bc734872-a9b2-4f41-9592-3fa6b52ddfad,13/12/2021,Njord Forseti,14:55:00,14,Tp/Substation,EA1 C16,3,Down (On to CTV),3,52.24561667,2.475466667,13/12/2021 14:55,2.6018972396850586,2.2796282694127283,120.1055806,0.944000045,4.94,7.76,-0.003,-0.179000009
72,72,65524767,bc734872-a9b2-4f41-9592-3fa6b52ddfad,13/12/2021,Njord Forseti,15:15:00,15,Tp/Substation,EA1 C18,3,Down (On to CTV),4,52.25823333,2.4685,13/12/2021 15:15,2.109150230884552,0.7996201679720253,95.96804635999999,0.9500000451225789,5.16,7.91,-0.003,-0.179000009
73,73,65524767,bc734872-a9b2-4f41-9592-3fa6b52ddfad,13/12/2021,Njord Forseti,18:05:00,18,Shore,Lowestoft,13,Up (Leaving CTV),7,52.474199,1.736557,13/12/2021 18:05,45.15127974748612,29.80254011365544,894.1862878180002,,3.7,6.3100000000000005,-0.036000002,-0.41800002
82,82,65612039,4fef875b-f252-428a-af07-62fa17d98c70,15/12/2021,Njord Forseti,06:55:00,6,Shore,Lowestoft,13,Down (On to CTV),3,52.474199,1.736557,15/12/2021 06:55,0,0,0,,4.83,1.64,-0.009,-0.396000019
83,83,65612039,4fef875b-f252-428a-af07-62fa17d98c70,15/12/2021,Njord Forseti,08:25:00,8,Tp/Substation,EA1 C16,3,Up (Leaving CTV),1,52.24561667,2.475466667,15/12/2021 08:25,31.22222700715065,30.370892714830386,659.9981678349999,0.8320000395178795,7.27,1.99,-0.184000009,-0.574000027
84,84,65612039,4fef875b-f252-428a-af07-62fa17d98c70,15/12/2021,Njord Forseti,14:13:00,14,Tp/Substation,EA1 C16,3,Down (On to CTV),4,52.24561667,2.475466667,15/12/2021 14:13,28.739319324493408,0,912.2309485744402,0.7240000343881547,6.24,2.37,0.1760000083595514,0.7130000338656828
85,85,65612039,4fef875b-f252-428a-af07-62fa17d98c70,15/12/2021,Njord Forseti,17:40:00,17,Shore,Lowestoft,13,Up (Leaving CTV),9,52.474199,1.736557,15/12/2021 17:40,41.55426907539368,30.370892714830386,1036.0298726400001,,2.95,0.66,-0.034000002,-0.62600003
92,92,65697101,b82fe01d-9700-450e-9434-c29cc2591a44,17/12/2021,Njord Forseti,07:10:00,6,Shore,Lowestoft,13,Down (On to CTV),10,52.474199,1.736557,17/12/2021 07:10,0,0,0,,0.27,-3.14,-0.027000001,-0.616000029
93,93,65697101,b82fe01d-9700-450e-9434-c29cc2591a44,17/12/2021,Njord Forseti,08:40:00,8,Tp/Substation,EA1 E26,3,Up (Leaving CTV),2,52.31621667,2.501333333,17/12/2021 08:40,31.20275307,29.581205612638225,624.5692813,0.246000012,-2.06,-2.25,-0.252000012,-0.747000035
94,94,65697101,b82fe01d-9700-450e-9434-c29cc2591a44,17/12/2021,Njord Forseti,09:17:00,9,Tp/Substation,EA1 E14,4,Up (Leaving CTV),7,52.23906667,2.542683333,17/12/2021 09:17,4.890814036480151,4.874819992,130.2429679,0.2380000113043934,-2.54,-2.35,-0.261000012,-0.741000035
96,96,65697101,b82fe01d-9700-450e-9434-c29cc2591a44,17/12/2021,Njord Forseti,17:00:00,17,Tp/Substation,EA1 E26,3,Down (On to CTV),1,52.31621667,2.501333333,17/12/2021 17:00,51.56976374,4.874819992,1330.1683455970003,0.4380000208038836,-4.12,-1.41,-0.012000001,0.1410000066971406
97,97,65697101,b82fe01d-9700-450e-9434-c29cc2591a44,17/12/2021,Njord Forseti,18:35:00,18,Shore,Lowestoft,13,Up (Leaving CTV),0,52.474199,1.736557,17/12/2021 18:35,31.319637298583984,29.581205612638225,636.9972667,,-2,-3.53,-0.040000002,-0.666000032
114,114,65709537,0ef81b56-1b9a-4d04-8d11-f8b47a427e30,18/12/2021,Njord Forseti,06:48:00,6,Shore,Lowestoft,13,Down (On to CTV),6,52.474199,1.736557,18/12/2021 06:48,0,0,0,,-3.14,-2.17,-0.046000002,-0.675000032
115,115,65709537,0ef81b56-1b9a-4d04-8d11-f8b47a427e30,18/12/2021,Njord Forseti,08:19:00,8,Tp/Substation,EA1 E26,3,Up (Leaving CTV),1,52.31621667,2.501333333,18/12/2021 08:19,31.286458730697632,29.581205612638225,616.5721551899999,0.3440000163391232,-4.39,-1.27,-0.20900001,-0.860000041
116,116,65709537,0ef81b56-1b9a-4d04-8d11-f8b47a427e30,18/12/2021,Njord Forseti,08:48:00,8,Tp/Substation,EA1 E16,4,Up (Leaving CTV),7,52.25203333,2.53575,18/12/2021 08:48,4.108830929,4.055635326916854,98.27833313,0.348000017,-4.11,-1.24,-0.273000013,-0.84100004
117,117,65709537,0ef81b56-1b9a-4d04-8d11-f8b47a427e30,18/12/2021,Njord Forseti,16:00:00,16,Tp/Substation,EA1 E26,3,Down (On to CTV),4,52.31621667,2.501333333,18/12/2021 16:00,30.32987290993333,4.055635326916854,525.6269913,0.3060000145342201,-1.47,-2.89,0.1690000080270692,0.7230000343406573
118,118,65709537,0ef81b56-1b9a-4d04-8d11-f8b47a427e30,18/12/2021,Njord Forseti,16:28:00,16,Tp/Substation,EA1 E16,4,Down (On to CTV),7,52.25203333,2.53575,18/12/2021 16:28,4.230982303619385,4.055635326916854,102.06783900000002,0.3060000145342201,-1.47,-2.89,0.1650000078370794,0.7100000337231904
119,119,65709537,0ef81b56-1b9a-4d04-8d11-f8b47a427e30,18/12/2021,Njord Forseti,18:24:00,18,Shore,Lowestoft,13,Up (Leaving CTV),10,52.474199,1.736557,18/12/2021 18:24,33.08068251609802,32.194668798574725,681.4125492,,-1.61,-2.49,-0.101000005,-0.686000033
